abandonar;leave
real;real_number
realicen;perform
realidad;world
realista;realistic
realizado;done
realizar;realize
realmente;really
rebajar;lower_berth
recarga;recharge
recaudado;raised
recaudar;collect
receta;prescription
recibir;to receive
reciclado;recycling
reciclaje;recycling
reciclar;recycle
reciente;holocene
recién;newly
reclutamiento;recruitment
recogida;pickup
recolección;crop
recolectar;gather
recomendado;recommended
recomendar;recommend
reconocer;to recognize
reconocidas;recognized
reconociendo;acknowledging
reconvertir;reconvert
recordar;to remember
recorrer;travel
recreación;diversion
recreativa;recreational
recrudecer;intensify
recuperación;recovery
recuperar;retrieve
recurrente;recurrent
recurrir;entreaty
recurso;resource
red;internet
redirigir;redirect
redoblar;redouble
reducción;decrease
reducir;reduce
redundar;redound
reestructuración;restructuring
reflejado;reflected
reflejar;reflect
reflexionar;reflect
reflexivo;thoughtful
reforestación;reforestation
reforma;reform
reforzar;beef up
refrigeración;refrigeration
refugiado;refugee
refugio;shelter
regadío;irrigation
regalar;give away
regional;regional
registra;records
registrado;registered
registrar;to register
registro;registration
región;region
reglamentación;regulation
reglamentado;regulated
reglamentar;regulate
reglamento;regulation
regleta;power strip
regulación;regulation
regular;regular
regularmente;regularly
rehabilitar;rehabilitate
reiterado;reiterated
relacionado;related
relación;relationship
relativo;relative
religioso;religious
religión;religion
remesa;cargo
remuneración;wage
remunerado;paid
remunerados;remunerated
rendición;resignation
rendimiento;performance
rendir;output
renovable;renewable
renovar;renew
reparación;repair
reparto;distribution
repercusión;repercussion
repercutir;affect
reportar;report
repotenciar;repower
representación;representation
representado;represented
representante;representative
representar;represent
representativa;representative
reproducción;reproduction
reproductivo;reproductive
requerir;require
reserva;engagement
residual;remainder
residuo;residue
resiliencia;resilience
resilient;resilient
resistente;resistant
resolver;solve
respaldar;support
respaldo;back
respectar;respect
respectivo;respective
respetar;respect
respeto;respect
respetuoso;respectful
respirar;breathe
responder;answer
responsabilidad;duty
responsable;responsible
respuesta;response
restablecer;restore
restablecimiento;reinstatement
restante;remaining
restaurar;restore
resto;remainder
restricción;restriction
resultado;consequence
resultant;resulting
resultante;resulting
resumen;abstraction
retención;retention
reto;challenge
retraso;delay
retret;retreat
retrete;toilet
reutilizable;reusable
reutilización;reuse
revisar;check
revisión;revision
revitalizar;revitalize
revolución;revolution
rico;rich_people
riego;irrigation
riesgo;hazard
rindar;resignation
ritmo;swing
robado;stolen
robo;stole
robusta;robust
ronda;round
rondar;haunt
rural;rural
ruta;path
rápidamente;quickly
rápido;quick
río;river
sabía;i knew
sacar;return
sachs;sachs
salarial;wage
salario;wage
salir;leave
salud;health
saludable;healthy
salvaguardar;precaution
salvar;save
saneamiento;sanitation
sanitario;sanitary
sano;healthy
sarampión;measles
satisfacer;satisfy
sdgs;sdgs
secano;dryland
secretario;secretary
secretaría;secretary
sector;sector
secundario;secondary
segmento;section
seguimiento;tracing
seguir;continue
seguridad;security
seguro;sure
semilla;seed
sencilla;simple
sencillo;easy
sendai;sendai
sensibilización;sensitization
sensibilizar;sensitize
sentar;sit
sentencia;judgment
sentimiento;feeling
sentir;feel
septentrional;northern
sequía;drought
ser;beryllium
serie;serie
servicio;service
servir;serve
severamente;severely
sexo;sexual_activity
sexual;sexual
señalar;point
share;compartir
sida;aids
siglo;century
significativamente;significantly
significativo;significant
silvestr;wild
silvestre;wild
silvicultura;forestry
simplemente;simply
sistema;system
sistémica;systemic
sistémico;systemic
situación;situation
situar;topographic_point
sitúar;topographic_point
soborno;bribery
sobrecapacidad;overcapacity
sobreexplotación;overexploitation
sobrepesca;overfishing
sobrepeso;corpulence
sobrevivir;survive
socava;undermines
socavar;undermine
social;sociable
sociedad;society
socio;spouse
solar;solar
soldado;soldier
soler;to usually do
solucionar;sort out
solución;solution
someter;submit
sometido;subdued
sostener;clasp
sostenibilidad;sustainability
sostenible;sustainable
sosteniblemente;sustainably
sostenibles;sustainable
sostenido;sustained
stock;stock
subalimentada;malnourished
subalimentado;malnourished
subir;go up
submarina;submarine
subsahariana;sub-saharan
subsaharián;sub-saharan
subsidio;subsidy
subsistencia;subsistence
subsistir;subsist
suburbio;suburb
subvención;grant
subyacente;underlying
suceder;happen
sudoriental;southeast
suelo;i usually
sueño;sleep
suficiente;enough
sufrir;suffer
sugerencia;suggestion
sugerir;suggest
sumar;attention_deficit_disorder
sumar yo;add i
suministrar;supply
suministro;supply
sumir;dip
superar;live through
superficie;surface
superior;higher
supervisión;supervision
suponer;suppose
sur;south
susceptible;susceptible
sustainabledevelopment;sustainable development
sustancia;substance
sustancialmente;substantially
sustento;support
sólido;solid
tabaco;tobacco
tal;such
taller;workshop
tanto;so much
tardar;delay
tasa;rate
tecnología;technology
tecnológico;technological
telecomunicación;telecommunication
telefonía;telephone
tema;subject
temente;fearfully
temor;fear
temperatura;temperature
temprano;early
tener;to have
tengan;rich_person
tensión;strain
terapia;therapy
tercio;one-third
terminar;end up
terminir;coating
termín;finished
terreno;land
terrestre;land
terrestres;terrestrial
terrorismo;terrorism
textil;fabric
teórico;theoretical
the;the
tiempo;weather
tierra;earth
tipo;type
tirar;throw
tolerancia;tolerance
toma;pickings
tomar;drink
tonelada;short_ton
tormenta;storm
tortura;anguish
traba;lock
trabajador;employee
trabajar;to work
trabaje;work
trabajen;work
trabajo;worked
tradicional;traditional
traducir;translate
trampa;trap
transacción;transaction
transferencia;transportation
transferir;to transfer
transfobia;transphobia
transformación;transformation
transformador;transformer
transformar;transform
transfronteriza;cross-border
transfronterizo;cross-border
transición;passage
transmisibl;transmissible
transmitido;transmitted
transnacional;transnational
transparencia;transparency
transparente;transparent
transporte;transportation_system
tratamiento;treatment
tratar;dainty
trato;deal
trauma;injury
triangular;triangular
tributario;tax
trigo;wheat
triple;triple
triplicar;triple
tropical;tropical
tráfico;traffic
tuberculosis;tuberculosis
turismo;sightseeing
técnica;technique
técnico;technical
término;finished
ubicación;location
umbral;threshold
unesco;united_nations_educational_scientific_and_cultural_organization
unicef;united_nations_childrens_fund
unicelular;unicellular
unidad;unit_of_measurement
unidas;united
unidos;united
uniforme;uniform
unir yo;unite i
universal;universal
universitario;academician
unión;union
urbanización;urbanization
urbano;urban
urbanístico;town
urgente;urgent
us;united_states
usar;use
usuario;username
utilitario;utilitarian
utilización;use
utilizado;used
utilizar;use
vacuna;vaccine
vacunal;vaccine
vacunar;vaccinate
valor;worth
valoración;appraisal
valorar;appreciate
valío;worth
variado;varied
variedad;assortment
vecindario;vicinity
vegetal;vegetable
vehículo;vehicle
velar;to ensure
vencer;overcome
venta;sale
ventajoso;advantageous
ver;watch
verde;green
versión;version
verter;pour
vertimiento;shedding
vestir;wear
viable;viable
vial;phial
vida;life
viertar;pour
vigilancia;surveillance
vigilar;look out
vigor;energy
vih;hiv
vinculado;boundary
violación;misdemeanor
violar;rape
violencia;violence
violento;violent
virtud;virtue
visite;visited
visión;vision
vital;vital
vivienda;living place
vivir;to live
vivo;live
volatilidad;volatility
volumen;volume
votante;voter
voto;vote
voz;voice
vulnerabilidad;vulnerability
vulnerable;vulnerable
vías;pathways
vínculo;link
web;web
york;york
zona;zone
áfrica;africa
ámbito;scope
árbol;tree
área;area
árida;arid
ártico;arctic
ética;ethical_motive
étnico;ethnic
éxito;success
índole;nature
íntimo;confidant
órgano;organ
único;unique
